classification,createdAt,difficulty,equipment,forceType,id,isFavorite,muscleGroup,name,notes,updatedAt
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,9dbbfba7-f31c-4c33-8d08-4b62fd2bf01e,False,glutes,Elevated Glute Bridge,"Elevated Glute Bridge: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,6ebe7f9c-36ac-4a52-999a-bd41807a6d83,False,glutes,Fire Hydrants,"Fire Hydrants: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,428a9879-184e-49d1-a626-b64801583904,False,glutes,Frog Pumps,"Frog Pumps: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,a3eeba29-412e-4617-ab98-bce57cd96370,False,glutes,Glute Bridge,"Glute Bridge: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,6f05c2d8-5868-45ff-a937-7e511e12e627,False,glutes,Glute Ham Raise,"Glute Ham Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,4a345c77-8e88-4e7f-aa92-8a508a6a7e3f,False,glutes,Glute Kickback,"Glute Kickback: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,721144c9-4b11-4e5c-8480-02017c6d33da,False,core,Hanging Leg Raise,"Hanging Leg Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,pull,afee0c1b-bef8-4b5c-b5c1-58682049074d,False,back,Hyperextensions - Back Extensions,"Hyperextensions - Back Extensions: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the back using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,push,dbf35eac-9709-4bf7-9514-efb35471d6de,False,legs,Lateral Step-Up,"Lateral Step-Up: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the legs using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,defc8473-4cb2-45f0-ab5e-f6bc2db3ba53,False,core,Leg Raise,"Leg Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-03T09:00:50.414000,beginner,Bodyweight,push,3134e147-55a9-4b8f-a809-25ff16b8dfba,False,legs,Lunges,Unilateral leg exercise that helps improve strength and mobility. Great for balance and functional strength.,2025-07-03T09:00:50.414000
cardio,2025-07-03T09:00:50.414000,beginner,Bodyweight,push,64d0ee85-c98c-4b41-a4cd-88c5a10ecc9d,False,full body,Mountain Climbers,Dynamic cardio exercise that helps improve strength and mobility. Targets core and improves coordination.,2025-07-03T09:00:50.414000
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,cf03578b-7281-4762-89eb-ca620168a982,False,core,Oblique Crunches,"Oblique Crunches: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,a8b470dd-fcd5-4c7f-a449-33829bd9e520,False,core,Oblique Twist,"Oblique Twist: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-03T09:00:50.414000,beginner,Bodyweight,static,eff03171-618f-4340-ad7d-1dd2808dc902,True,core,Plank,Isometric core exercise that helps improve strength and mobility. Focus on maintaining neutral spine.,2025-07-03T09:00:50.414000
strength,2025-07-03T09:00:50.413000,intermediate,Bodyweight,pull,e480bd98-992d-4af0-9e72-7dfca56850ec,True,back,Pull-Ups,Excellent upper body pulling exercise that helps improve strength and mobility. Can use assistance if needed.,2025-07-03T09:00:50.413000
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,push,bceee2b2-af44-49e4-9545-54c0236dc76c,False,chest,Push-Ups,"Push-Ups: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,push,ce1ff2e8-1e76-4623-958f-952b6643e7af,False,chest,Push-Ups (Banded),"Push-Ups (Banded): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,eb954240-461d-4746-9162-8a107954efa2,False,glutes,Quadruped Hip Extension,"Quadruped Hip Extension: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-03T09:00:50.414000,beginner,Bodyweight,pull,b3c1da91-ed85-45ea-b003-71287679b7ac,False,core,Russian Twists,Targets obliques and rotational strength. Can add weight for progression.,2025-07-03T09:00:50.414000
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,cb73c6ef-e519-4f59-8af8-c9fe9c75c1d0,False,glutes,Single Leg Glute Bridge,"Single Leg Glute Bridge: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,f0c4d863-de63-40e0-94e6-00be5f5b6259,False,glutes,Single-Leg Hip Thrust,"Single-Leg Hip Thrust: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,e5095ec7-d028-4f60-a91f-21edd9ec1cbd,False,core,Sit Up,"Sit Up: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,0c6b11b5-d5c5-4b37-8a19-1852f7c99d64,False,core,Standing Crunch,"Standing Crunch: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,push,bfa650a9-9ffe-4ef3-aade-3f76ac521fdd,False,legs,Step-Up With Knee Raise,"Step-Up with Knee Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the legs using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,push,95c92780-e884-4cd0-bee6-4f6764d909b7,False,arms,Tricep Dip,"Tricep Dip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,push,a0a23d7f-08dd-4511-96bb-2298788414f8,False,chest,Wide Grip Push-Ups,"Wide Grip Push-Ups: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,6b621326-a1ab-4496-b26c-3eaab50a96e3,False,back,Cable Ball Lat Pulldown,"Cable Ball Lat Pulldown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,2110daa1-334d-4eb5-b73d-a6da483a55ce,False,chest,Cable Crossover (High To Low),"Cable Crossover (High to Low): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,ab8cdda6-21ce-49b9-ab79-b8c40196eca6,False,chest,Cable Crossover (Low To High),"Cable Crossover (Low to High): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,squeeze,061631e3-0243-4eb4-909f-d9d662891c49,False,core,Cable Crunch,"Cable Crunch: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,4c05cb13-d2df-4917-b7dc-f14e5689731b,False,biceps,Cable Curl (Straight Bar),"Cable Curl (straight bar): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the back using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,4c58872a-4663-44a1-a54d-8e3abb88dd6c,False,biceps,Cable Curl (Waiter),"Cable Curl (Waiter): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,21d3b4d1-22e6-4b3a-a826-e0592f4b085a,False,biceps,Cable Drag Curl,"Cable Drag Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,b0c4c9da-b592-44e7-a88c-71ceb926dd60,False,biceps,Cable Drag Curl (Single Arm),"Cable Drag Curl (single arm): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,ceba62e3-2c20-47b2-98b6-647a2a226519,False,shoulders,Cable Face Pulls,"Face Pulls: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,36e842c0-2477-487d-9132-019a90b3a01c,False,chest,Cable Fly (Decline -High To Low-),"Cable Fly (Decline -High to Low-): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,0233b94b-f95b-44b5-9074-c97eacf782e1,False,chest,Cable Fly (Flat -Tree Hugger-),"Cable Fly (Flat -Tree Hugger- ): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,8611378b-6abf-4e79-b7c8-9108df0d8c0b,False,chest,Cable Fly (Incline -Low To High-),"Cable Fly (Incline -Low to High-): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,2ea1a37a-e147-438a-98b3-fa6fc2cf0d94,False,chest,"Cable Fly (Rope, Supinated)","Cable Fly (Rope, Supinated): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,79285492-aa86-4708-b743-8ae21d4954fc,False,shoulders,Cable Front Raises,"Cable Front Raises: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the shoulders using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,f0a47d42-0129-4550-8509-75c625528e6c,False,biceps,Cable Hammer Curl,"Hammer Curl (Cable): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,squeeze,b5f4cae6-208a-4aaa-b481-97037050f862,False,glutes,Cable Kick Backs,"Cable Kick Backs: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,fe87d9d3-0a1b-42b7-9d09-6c9e0bacc823,False,back,Cable Lat Pull Down Close Grip,"Lat Pull Down Close Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,d31b3650-1fd6-4075-ba93-4a0016da560e,False,back,Cable Lat Pull Down Neutral Grip,"Lat Pull Down Neutral Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,09d30729-b2ae-412c-b859-76c74797e123,False,back,Cable Lat Pull Down Wide Grip,"Lat Pull Down Wide Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,cbe1c53c-7cfb-41d0-bf01-4b9c6805dfb7,False,back,Cable Lat Pull Over,"Cable Lat Pull Over: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,d3d0d76d-e2e2-4fe9-8b2b-d98598b09b2e,False,shoulders,Cable Lateral Raises,"Cable Lateral Raises: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the shoulders using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,7b35c21b-1b74-42b7-8dfe-f1fade3f9fcf,False,arms,Cable Overhead Triceps Ext,"Overhead Triceps Ext (Cable): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,squeeze,2e669017-c5fd-4228-9c45-1f8352fe0b3b,False,glutes,Cable Pull Through,"Cable Pull Through: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,ea387cfa-15a1-4227-acae-c91977afbcce,False,shoulders,Cable Rear Delt Fly,"Rear Delt Fly (Cable): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,e67409db-784e-435f-8db8-302ae8a9464c,False,shoulders,Cable Reverse Fly,"Reverse Fly (Cable): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,0002aba5-994e-459b-95a2-b3572e818202,False,arms,Cable Reverse Grip Triceps Pushdown,"Reverse Grip Triceps Pushdown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,b14f9b6f-9c91-49f0-aa65-825637261386,False,arms,Cable Rope Triceps Pushdown,"Cable Rope Triceps Pushdown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,b4e6ba93-64b4-466f-a5c1-47b1debbc5af,False,back,Cable Rows Close Grip,"Cable Rows Close Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,67143a6d-0970-4d78-bb6e-037bf3e8ca48,False,back,Cable Rows Neutral Grip,"Cable Rows Neutral Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,3926d434-ed99-4449-b7e4-9282bfab6cca,False,back,Cable Rows Wide Grip,"Cable Rows Wide Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,c0056c50-828f-4f46-9444-6707bff14e5c,False,arms,Cable Single-Arm Triceps Ext,"Single -Arm Triceps Ext (Cable): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,pull,44b49a2b-5029-43b4-a930-c8f0ab01dd6d,False,back,Cable Single-Arm Row,"Single-Arm Cable Row: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,37ec5d5c-5ef7-4047-a623-ced962a2051d,False,arms,Cable Single-Arm Triceps Pushdown,"Single-Arm Cable Triceps Pushdown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,07192894-b6dd-4e16-8698-ded32ba9de81,False,arms,Cable Triceps Pushdown,"Cable Triceps Pushdown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,push,dd1862e9-b6b5-410a-a2ac-7d3416cf01c1,False,arms,Cable Triceps V-Bar Pushdown,"Triceps V-Bar Pushdown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Cable,squeeze,f54e3709-d65a-4f44-bf73-42cf950935e2,False,core,Cable Wood Chops,"Cable Wood Chops: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using cable.",2025-07-06T19:10:12.243277
strength,2025-07-03T09:00:50.414000,beginner,Dumbbell,pull,2408da24-0981-4795-b4e4-7deac51c6a61,False,arms,Dumbbell Bicep Curls,Classic bicep exercise that helps improve strength and mobility. Focus on full range of motion.,2025-07-03T09:00:50.414000
strength,2025-07-06T19:10:12.243277,intermediate,Dumbbell,push,d2bdddaf-3d40-4cb8-9d9d-8182bd2daa57,False,chest,Dumbbell Chest Fly (Decline)Thumbs Up,"DB Chest Fly (Decline)Thumbs Up: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using dumbbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Dumbbell,push,c558fa7a-f77b-4816-9236-4db82839257c,False,chest,Dumbbell Chest Fly (Flat) Palms Up,"DB Chest Fly (Flat) Palms up: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using dumbbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Dumbbell,push,32ca0d5f-dec9-4bc5-b160-5364ab6c1219,False,chest,Dumbbell Chest Fly (Incline) Pinkies Up,"DB Chest Fly (Incline) Pinkies Up: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using dumbbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Dumbbell,pull,2247b1b2-6202-4645-8228-8f3edf2864d1,False,biceps,Dumbbell Curl,"Dumbell Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using dumbbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Dumbbell,pull,51bf943f-a7c5-476b-bd79-e2a49f14c4d5,False,biceps,Dumbbell Incline Curl,"Dumbell Incline Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using dumbbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Dumbbell,squeeze,1bcb1ab4-c2f3-4005-aeb5-bbaa04366325,False,core,Dumbbell Side Bend,"Dumbell Side Bend: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using dumbbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Dumbbell,push,bf8a4072-56d0-4e88-aecc-e26f853e4d78,False,arms,Dumbbell Skullcrusher,"Dumbell Skullcrusher: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using dumbbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Dumbbell,push,25c54129-7f0a-4f9a-b428-14c9e41fc37a,False,arms,Dumbbell Tricep Kickback,"Dumbell Tricep Kickback: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the triceps using dumbbell.",2025-07-06T19:10:12.243277
