name,classification,equipment,muscleGroup,difficulty,forceType,isFavorite,notes,id,createdAt,updatedAt
Crunches,strength,Bodyweight,Core,intermediate,squeeze,False,"Crunches: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",0b928897-9c1d-40df-ad12-c1412a7fd8e5,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Curtsy Lunge,strength,Bodyweight,Legs,intermediate,push,False,"Curtsy Lunge: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the legs using bodyweight. and requires no equipment.",faeae95c-8106-4ad7-9d99-3a54cbfe0723,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Decline Crunches,strength,Bodyweight,Core,intermediate,squeeze,False,"Decline Crunches: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",2f072402-c089-4385-8d1a-b8fdcb04ea51,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Diamond Pushups,strength,Bodyweight,Arms,intermediate,push,False,"Diamond Pushups: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using bodyweight. and requires no equipment.",d9330aa1-2fc4-469a-bc6e-1e0b77f65bf9,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dips,strength,Bodyweight,Chest,intermediate,push,False,"Dips (Free hang Body Weight): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using bodyweight. and requires no equipment.",5b90c2d2-577f-4715-929b-02f008d983dd,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Elevated Glute Bridge,strength,Bodyweight,Glutes,intermediate,squeeze,False,"Elevated Glute Bridge: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",9dbbfba7-f31c-4c33-8d08-4b62fd2bf01e,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Fire Hydrants,strength,Bodyweight,Glutes,intermediate,squeeze,False,"Fire Hydrants: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",6ebe7f9c-36ac-4a52-999a-bd41807a6d83,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Frog Pumps,strength,Bodyweight,Glutes,intermediate,squeeze,False,"Frog Pumps: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",428a9879-184e-49d1-a626-b64801583904,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Glute Bridge,strength,Bodyweight,Glutes,intermediate,squeeze,False,"Glute Bridge: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",a3eeba29-412e-4617-ab98-bce57cd96370,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Glute Ham Raise,strength,Bodyweight,Glutes,intermediate,squeeze,False,"Glute Ham Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",6f05c2d8-5868-45ff-a937-7e511e12e627,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Hanging Leg Raise,strength,Bodyweight,Core,intermediate,squeeze,False,"Hanging Leg Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",721144c9-4b11-4e5c-8480-02017c6d33da,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Hyperextensions - Back Extensions,strength,Bodyweight,Back,intermediate,pull,False,"Hyperextensions - Back Extensions: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the back using bodyweight. and requires no equipment.",afee0c1b-bef8-4b5c-b5c1-58682049074d,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Lateral Step-Up,strength,Bodyweight,Legs,intermediate,push,False,"Lateral Step-Up: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the legs using bodyweight. and requires no equipment.",dbf35eac-9709-4bf7-9514-efb35471d6de,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Leg Raise,strength,Bodyweight,Core,intermediate,squeeze,False,"Leg Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",defc8473-4cb2-45f0-ab5e-f6bc2db3ba53,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Lunges,strength,Bodyweight,Legs,beginner,push,False,Unilateral leg exercise that helps improve strength and mobility. Great for balance and functional strength.,3134e147-55a9-4b8f-a809-25ff16b8dfba,2025-07-03T09:00:50.414000,2025-07-03T09:00:50.414000
Mountain Climbers,cardio,Bodyweight,Full Body,beginner,push,False,Dynamic cardio exercise that helps improve strength and mobility. Targets core and improves coordination.,64d0ee85-c98c-4b41-a4cd-88c5a10ecc9d,2025-07-03T09:00:50.414000,2025-07-03T09:00:50.414000
Oblique Crunches,strength,Bodyweight,Core,intermediate,squeeze,False,"Oblique Crunches: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",cf03578b-7281-4762-89eb-ca620168a982,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Oblique Twist,strength,Bodyweight,Core,intermediate,squeeze,False,"Oblique Twist: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",a8b470dd-fcd5-4c7f-a449-33829bd9e520,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Plank,strength,Bodyweight,Core,beginner,static,True,Isometric core exercise that helps improve strength and mobility. Focus on maintaining neutral spine.,eff03171-618f-4340-ad7d-1dd2808dc902,2025-07-03T09:00:50.414000,2025-07-03T09:00:50.414000
Pull-Ups,strength,Bodyweight,Back,intermediate,pull,True,Excellent upper body pulling exercise that helps improve strength and mobility. Can use assistance if needed.,e480bd98-992d-4af0-9e72-7dfca56850ec,2025-07-03T09:00:50.413000,2025-07-03T09:00:50.413000
Push-Ups,strength,Bodyweight,Chest,intermediate,push,False,"Push-Ups: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using bodyweight. and requires no equipment.",bceee2b2-af44-49e4-9545-54c0236dc76c,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Push-Ups (Banded),strength,Bodyweight,Chest,intermediate,push,False,"Push-Ups (Banded): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using bodyweight. and requires no equipment.",ce1ff2e8-1e76-4623-958f-952b6643e7af,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Quadruped Hip Extension,strength,Bodyweight,Glutes,intermediate,squeeze,False,"Quadruped Hip Extension: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",eb954240-461d-4746-9162-8a107954efa2,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Russian Twists,strength,Bodyweight,Core,beginner,pull,False,Targets obliques and rotational strength. Can add weight for progression.,b3c1da91-ed85-45ea-b003-71287679b7ac,2025-07-03T09:00:50.414000,2025-07-03T09:00:50.414000
Single Leg Glute Bridge,strength,Bodyweight,Glutes,intermediate,squeeze,False,"Single Leg Glute Bridge: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",cb73c6ef-e519-4f59-8af8-c9fe9c75c1d0,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Single-Leg Hip Thrust,strength,Bodyweight,Glutes,intermediate,squeeze,False,"Single-Leg Hip Thrust: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using bodyweight. and requires no equipment.",f0c4d863-de63-40e0-94e6-00be5f5b6259,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Sit Up,strength,Bodyweight,Core,intermediate,squeeze,False,"Sit Up: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",e5095ec7-d028-4f60-a91f-21edd9ec1cbd,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Standing Crunch,strength,Bodyweight,Core,intermediate,squeeze,False,"Standing Crunch: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",0c6b11b5-d5c5-4b37-8a19-1852f7c99d64,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Step-Up With Knee Raise,strength,Bodyweight,Legs,intermediate,push,False,"Step-Up with Knee Raise: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the legs using bodyweight. and requires no equipment.",bfa650a9-9ffe-4ef3-aade-3f76ac521fdd,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Tricep Dip,strength,Bodyweight,arms,intermediate,push,False,"Tricep Dip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using bodyweight. and requires no equipment.",95c92780-e884-4cd0-bee6-4f6764d909b7,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Wide Grip Push-Ups,strength,Bodyweight,Chest,intermediate,push,False,"Wide Grip Push-Ups: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using bodyweight. and requires no equipment.",a0a23d7f-08dd-4511-96bb-2298788414f8,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Crossover (High To Low),strength,Cable,Chest,intermediate,push,False,"Cable Crossover (High to Low): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using cable.",2110daa1-334d-4eb5-b73d-a6da483a55ce,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Crossover (Low To High),strength,Cable,Chest,intermediate,push,False,"Cable Crossover (Low to High): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using cable.",ab8cdda6-21ce-49b9-ab79-b8c40196eca6,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Crunch,strength,Cable,Core,intermediate,squeeze,False,"Cable Crunch: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using cable.",061631e3-0243-4eb4-909f-d9d662891c49,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Curl (Straight Bar),strength,Cable,Biceps,intermediate,pull,False,"Cable Curl (straight bar): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the back using cable.",4c05cb13-d2df-4917-b7dc-f14e5689731b,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Curl (Waiter),strength,Cable,Biceps,intermediate,pull,False,"Cable Curl (Waiter): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using cable.",4c58872a-4663-44a1-a54d-8e3abb88dd6c,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Drag Curl,strength,Cable,Biceps,intermediate,pull,False,"Cable Drag Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using cable.",21d3b4d1-22e6-4b3a-a826-e0592f4b085a,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Drag Curl (Single Arm),strength,Cable,Biceps,intermediate,pull,False,"Cable Drag Curl (single arm): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using cable.",b0c4c9da-b592-44e7-a88c-71ceb926dd60,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Face Pulls,strength,Cable,Shoulders,intermediate,pull,False,"Face Pulls: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using cable.",ceba62e3-2c20-47b2-98b6-647a2a226519,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Fly (Decline -High To Low-),strength,Cable,Chest,intermediate,push,False,"Cable Fly (Decline -High to Low-): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using cable.",36e842c0-2477-487d-9132-019a90b3a01c,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Fly (Flat -Tree Hugger-),strength,Cable,Chest,intermediate,push,False,"Cable Fly (Flat -Tree Hugger- ): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using cable.",0233b94b-f95b-44b5-9074-c97eacf782e1,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Fly (Incline -Low To High-),strength,Cable,Chest,intermediate,push,False,"Cable Fly (Incline -Low to High-): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using cable.",8611378b-6abf-4e79-b7c8-9108df0d8c0b,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
"Cable Fly (Rope, Supinated)",strength,Cable,Chest,intermediate,push,False,"Cable Fly (Rope, Supinated): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using cable.",2ea1a37a-e147-438a-98b3-fa6fc2cf0d94,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Front Raises,strength,Cable,Shoulders,intermediate,push,False,"Cable Front Raises: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the shoulders using cable.",79285492-aa86-4708-b743-8ae21d4954fc,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Hammer Curl,strength,Cable,Biceps,intermediate,pull,False,"Hammer Curl (Cable): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using cable.",f0a47d42-0129-4550-8509-75c625528e6c,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Kick Backs,strength,Cable,Glutes,intermediate,squeeze,False,"Cable Kick Backs: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using cable.",b5f4cae6-208a-4aaa-b481-97037050f862,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Lat Pull Down Close Grip,strength,Cable,Back,intermediate,pull,False,"Lat Pull Down Close Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",fe87d9d3-0a1b-42b7-9d09-6c9e0bacc823,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Lat Pull Down Neutral Grip,strength,Cable,Back,intermediate,pull,False,"Lat Pull Down Neutral Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",d31b3650-1fd6-4075-ba93-4a0016da560e,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Lat Pull Down Wide Grip,strength,Cable,Back,intermediate,pull,False,"Lat Pull Down Wide Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",09d30729-b2ae-412c-b859-76c74797e123,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Lat Pull Over,strength,Cable,Back,intermediate,pull,False,"Cable Lat Pull Over: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",cbe1c53c-7cfb-41d0-bf01-4b9c6805dfb7,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Lateral Raises,strength,Cable,Shoulders,intermediate,push,False,"Cable Lateral Raises: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the shoulders using cable.",d3d0d76d-e2e2-4fe9-8b2b-d98598b09b2e,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Overhead Triceps Ext,strength,Cable,Arms,intermediate,push,False,"Overhead Triceps Ext (Cable): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",7b35c21b-1b74-42b7-8dfe-f1fade3f9fcf,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Pull Through,strength,Cable,Glutes,intermediate,squeeze,False,"Cable Pull Through: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using cable.",2e669017-c5fd-4228-9c45-1f8352fe0b3b,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Rear Delt Fly,strength,Cable,Shoulders,intermediate,push,False,"Rear Delt Fly (Cable): This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using cable.",ea387cfa-15a1-4227-acae-c91977afbcce,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Reverse Grip Triceps Pushdown,strength,Cable,Arms,intermediate,push,False,"Reverse Grip Triceps Pushdown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",0002aba5-994e-459b-95a2-b3572e818202,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Rope Triceps Pushdown,strength,Cable,Arms,intermediate,push,False,"Cable Rope Triceps Pushdown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",b14f9b6f-9c91-49f0-aa65-825637261386,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Rows Close Grip,strength,Cable,Back,intermediate,pull,False,"Cable Rows Close Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",b4e6ba93-64b4-466f-a5c1-47b1debbc5af,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Rows Neutral Grip,strength,Cable,Back,intermediate,pull,False,"Cable Rows Neutral Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",67143a6d-0970-4d78-bb6e-037bf3e8ca48,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Rows Wide Grip,strength,Cable,Back,intermediate,pull,False,"Cable Rows Wide Grip: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",3926d434-ed99-4449-b7e4-9282bfab6cca,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Single-Arm Triceps Ext,strength,Cable,Arms,intermediate,push,False,"Single -Arm Triceps Ext (Cable): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",c0056c50-828f-4f46-9444-6707bff14e5c,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Single-Arm Row,strength,Cable,Back,intermediate,pull,False,"Single-Arm Cable Row: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using cable.",44b49a2b-5029-43b4-a930-c8f0ab01dd6d,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Single-Arm Triceps Pushdown,strength,Cable,Arms,intermediate,push,False,"Single-Arm Cable Triceps Pushdown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",37ec5d5c-5ef7-4047-a623-ced962a2051d,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Triceps Pushdown,strength,Cable,Arms,intermediate,push,False,"Cable Triceps Pushdown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",07192894-b6dd-4e16-8698-ded32ba9de81,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Triceps V-Bar Pushdown,strength,Cable,Arms,intermediate,push,False,"Triceps V-Bar Pushdown: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using cable.",dd1862e9-b6b5-410a-a2ac-7d3416cf01c1,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Cable Wood Chops,strength,Cable,Core,intermediate,squeeze,False,"Cable Wood Chops: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using cable.",f54e3709-d65a-4f44-bf73-42cf950935e2,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Bicep Curls,strength,Dumbbell,Arms,beginner,pull,False,Classic bicep exercise that helps improve strength and mobility. Focus on full range of motion.,2408da24-0981-4795-b4e4-7deac51c6a61,2025-07-03T09:00:50.414000,2025-07-03T09:00:50.414000
Dumbbell Chest Fly (Decline)Thumbs Up,strength,Dumbbell,Chest,intermediate,push,False,"DB Chest Fly (Decline)Thumbs Up: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using dumbbell.",d2bdddaf-3d40-4cb8-9d9d-8182bd2daa57,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Chest Fly (Flat) Palms Up,strength,Dumbbell,Chest,intermediate,push,False,"DB Chest Fly (Flat) Palms up: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using dumbbell.",c558fa7a-f77b-4816-9236-4db82839257c,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Chest Fly (Incline) Pinkies Up,strength,Dumbbell,Chest,intermediate,push,False,"DB Chest Fly (Incline) Pinkies Up: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the chest using dumbbell.",32ca0d5f-dec9-4bc5-b160-5364ab6c1219,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Incline Curl,strength,Dumbbell,Biceps,intermediate,pull,False,"Dumbell Incline Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using dumbbell.",51bf943f-a7c5-476b-bd79-e2a49f14c4d5,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Side Bend,strength,Dumbbell,Core,intermediate,squeeze,False,"Dumbell Side Bend: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using dumbbell.",1bcb1ab4-c2f3-4005-aeb5-bbaa04366325,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Skullcrusher,strength,Dumbbell,Arms,intermediate,push,False,"Dumbell Skullcrusher: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using dumbbell.",bf8a4072-56d0-4e88-aecc-e26f853e4d78,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Tricep Kickback,strength,Dumbbell,Arms,intermediate,push,False,"Dumbell Tricep Kickback: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the triceps using dumbbell.",25c54129-7f0a-4f9a-b428-14c9e41fc37a,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Dumbbell Triceps Extension,strength,Dumbbell,Arms,intermediate,push,False,"Dumbell Triceps Extension: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the triceps using dumbbell.",fb14fe67-83c5-404b-9265-03a2706d12da,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
